Time, Energy
0.091600,4.871311
0.091700,4.870982
0.091800,4.870678
0.091900,4.870394
0.092000,4.870130
0.092100,4.869884
0.092200,4.869652
0.092300,4.869434
0.092400,4.869227
0.092500,4.869029
0.092600,4.868838
0.092700,4.868653
0.092800,4.868470
0.092900,4.868287
0.093000,4.868102
0.093100,4.867913
0.093200,4.867717
0.093300,4.867513
0.093400,4.867298
0.093500,4.867069
0.093600,4.866825
0.093700,4.866563
0.093800,4.866283
0.093900,4.865980
0.094000,4.865654
0.094100,4.865302
0.094200,4.864923
0.094300,4.864514
0.094400,4.864074
0.094500,4.863601
0.094600,4.863092
0.094700,4.862545
0.094800,4.861959
0.094900,4.861330
0.095000,4.860657
0.095100,4.859939
0.095200,4.859173
0.095300,4.858357
0.095400,4.857490
0.095500,4.856570
0.095600,4.855595
0.095700,4.854564
0.095800,4.853475
0.095900,4.852327
0.096000,4.851117
0.096100,4.849845
0.096200,4.848509
0.096300,4.847107
0.096400,4.845637
0.096500,4.844097
0.096600,4.842487
0.096700,4.840805
0.096800,4.839050
0.096900,4.837220
0.097000,4.835316
0.097100,4.833335
0.097200,4.831278
0.097300,4.829143
0.097400,4.826930
0.097500,4.824638
0.097600,4.822266
0.097700,4.819815
0.097800,4.817284
0.097900,4.814673
0.098000,4.811981
0.098100,4.809209
0.098200,4.806356
0.098300,4.803423
0.098400,4.800411
0.098500,4.797319
0.098600,4.794148
0.098700,4.790898
0.098800,4.787570
0.098900,4.784165
0.099000,4.780684
0.099100,4.777128
0.099200,4.773498
0.099300,4.769796
0.099400,4.766024
0.099500,4.762183
0.099600,4.758274
0.099700,4.754301
0.099800,4.750264
0.099900,4.746166
0.100000,4.742008
0.100100,4.737793
0.100200,4.733522
0.100300,4.729199
0.100400,4.724825
0.100500,4.720404
0.100600,4.715937
0.100700,4.711429
0.100800,4.706882
0.100900,4.702300
0.101000,4.697686
0.101100,4.693044
0.101200,4.688375
0.101300,4.683685
0.101400,4.678976
0.101500,4.674252
0.101600,4.669517
0.101700,4.664774
0.101800,4.660027
0.101900,4.655279
0.102000,4.650534
0.102100,4.645796
0.102200,4.641067
0.102300,4.636352
0.102400,4.631654
0.102500,4.626976
0.102600,4.622322
0.102700,4.617694
0.102800,4.613096
0.102900,4.608529
0.103000,4.603997
0.103100,4.599501
0.103200,4.595044
0.103300,4.590626
0.103400,4.586250
0.103500,4.581918
0.103600,4.577630
0.103700,4.573389
0.103800,4.569194
0.103900,4.565048
0.104000,4.560950
0.104100,4.556903
0.104200,4.552907
0.104300,4.548963
0.104400,4.545072
0.104500,4.541233
0.104600,4.537449
0.104700,4.533719
0.104800,4.530043
0.104900,4.526421
0.105000,4.522855
0.105100,4.519342
0.105200,4.515883
0.105300,4.512478
0.105400,4.509126
0.105500,4.505826
0.105600,4.502578
0.105700,4.499381
0.105800,4.496234
0.105900,4.493137
0.106000,4.490088
0.106100,4.487087
0.106200,4.484132
0.106300,4.481222
0.106400,4.478356
0.106500,4.475532
0.106600,4.472750
0.106700,4.470007
0.106800,4.467302
0.106900,4.464633
0.107000,4.461998
0.107100,4.459395
0.107200,4.456823
0.107300,4.454279
0.107400,4.451763
0.107500,4.449271
0.107600,4.446802
0.107700,4.444355
0.107800,4.441926
0.107900,4.439515
0.108000,4.437119
0.108100,4.434737
0.108200,4.432366
0.108300,4.430006
0.108400,4.427654
0.108500,4.425309
0.108600,4.422969
0.108700,4.420631
0.108800,4.418296
0.108900,4.415959
0.109000,4.413621
0.109100,4.411280
0.109200,4.408934
0.109300,4.406581
0.109400,4.404221
0.109500,4.401851
0.109600,4.399470
0.109700,4.397078
0.109800,4.394672
0.109900,4.392252
0.110000,4.389816
0.110100,4.387362
0.110200,4.384890
0.110300,4.382397
0.110400,4.379883
0.110500,4.377347
0.110600,4.374786
0.110700,4.372199
0.110800,4.369586
0.110900,4.366946
0.111000,4.364275
0.111100,4.361575
0.111200,4.358843
0.111300,4.356079
0.111400,4.353282
0.111500,4.350451
0.111600,4.347584
0.111700,4.344681
0.111800,4.341742
0.111900,4.338765
0.112000,4.335751
0.112100,4.332698
0.112200,4.329605
0.112300,4.326474
0.112400,4.323302
0.112500,4.320091
0.112600,4.316840
0.112700,4.313549
0.112800,4.310219
0.112900,4.306848
0.113000,4.303439
0.113100,4.299991
0.113200,4.296504
0.113300,4.292978
0.113400,4.289414
0.113500,4.285813
0.113600,4.282174
0.113700,4.278499
0.113800,4.274789
0.113900,4.271043
0.114000,4.267263
0.114100,4.263449
0.114200,4.259602
0.114300,4.255723
0.114400,4.251813
0.114500,4.247873
0.114600,4.243904
0.114700,4.239908
0.114800,4.235884
0.114900,4.231835
0.115000,4.227762
0.115100,4.223665
0.115200,4.219545
0.115300,4.215404
0.115400,4.211243
0.115500,4.207063
0.115600,4.202865
0.115700,4.198651
0.115800,4.194421
0.115900,4.190177
0.116000,4.185920
0.116100,4.181651
0.116200,4.177372
0.116300,4.173084
0.116400,4.168788
0.116500,4.164486
0.116600,4.160180
0.116700,4.155869
0.116800,4.151557
0.116900,4.147245
0.117000,4.142933
0.117100,4.138624
0.117200,4.134320
0.117300,4.130021
0.117400,4.125730
0.117500,4.121447
0.117600,4.117176
0.117700,4.112917
0.117800,4.108673
0.117900,4.104443
0.118000,4.100231
0.118100,4.096037
0.118200,4.091862
0.118300,4.087708
0.118400,4.083576
0.118500,4.079467
0.118600,4.075383
0.118700,4.071324
0.118800,4.067293
0.118900,4.063290
0.119000,4.059316
0.119100,4.055373
0.119200,4.051463
0.119300,4.047585
0.119400,4.043742
